,key_id_x,tournament_id,tournament_name,position,team_id,team_name_x,team_code_x,key_id_y,team_name_y,team_code_y,mens_team,womens_team,federation_name,region_name,confederation_id,confederation_name,confederation_code,mens_team_wikipedia_link,womens_team_wikipedia_link,federation_wikipedia_link
45,46,WC-1982,1982 FIFA Men's World Cup,2,T-86,West Germany,DEU,86,West Germany,DEU,1,0,Germany Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Germany_national_football_team,not applicable,https://en.wikipedia.org/wiki/German_Football_Association
46,47,WC-1982,1982 FIFA Men's World Cup,3,T-57,Poland,POL,57,Poland,POL,1,0,Polish Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Poland_national_football_team,not applicable,https://en.wikipedia.org/wiki/Polish_Football_Association
47,48,WC-1982,1982 FIFA Men's World Cup,4,T-30,France,FRA,30,France,FRA,1,1,French Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/France_national_football_team,https://en.wikipedia.org/wiki/France_women's_national_football_team,https://en.wikipedia.org/wiki/French_Football_Federation
48,49,WC-1986,1986 FIFA Men's World Cup,1,T-03,Argentina,ARG,3,Argentina,ARG,1,1,Argentine Football Association,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Argentina_national_football_team,https://en.wikipedia.org/wiki/Argentina_women's_national_football_team,https://en.wikipedia.org/wiki/Argentine_Football_Association
49,50,WC-1986,1986 FIFA Men's World Cup,2,T-86,West Germany,DEU,86,West Germany,DEU,1,0,Germany Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Germany_national_football_team,not applicable,https://en.wikipedia.org/wiki/German_Football_Association
50,51,WC-1986,1986 FIFA Men's World Cup,3,T-30,France,FRA,30,France,FRA,1,1,French Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/France_national_football_team,https://en.wikipedia.org/wiki/France_women's_national_football_team,https://en.wikipedia.org/wiki/French_Football_Federation
51,52,WC-1986,1986 FIFA Men's World Cup,4,T-06,Belgium,BEL,6,Belgium,BEL,1,0,Royal Belgian Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Belgium_national_football_team,not applicable,https://en.wikipedia.org/wiki/Royal_Belgian_Football_Association
52,53,WC-1990,1990 FIFA Men's World Cup,1,T-86,West Germany,DEU,86,West Germany,DEU,1,0,Germany Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Germany_national_football_team,not applicable,https://en.wikipedia.org/wiki/German_Football_Association
53,54,WC-1990,1990 FIFA Men's World Cup,2,T-03,Argentina,ARG,3,Argentina,ARG,1,1,Argentine Football Association,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Argentina_national_football_team,https://en.wikipedia.org/wiki/Argentina_women's_national_football_team,https://en.wikipedia.org/wiki/Argentine_Football_Association
54,55,WC-1990,1990 FIFA Men's World Cup,3,T-41,Italy,ITA,41,Italy,ITA,1,1,Italian Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Italy_national_football_team,https://en.wikipedia.org/wiki/Italy_women's_national_football_team,https://en.wikipedia.org/wiki/Italian_Football_Federation
55,56,WC-1990,1990 FIFA Men's World Cup,4,T-28,England,ENG,28,England,ENG,1,1,The Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/England_national_football_team,https://en.wikipedia.org/wiki/England_women's_national_football_team,https://en.wikipedia.org/wiki/The_Football_Association
56,61,WC-1994,1994 FIFA Men's World Cup,1,T-09,Brazil,BRA,9,Brazil,BRA,1,1,Brazilian Football Confederation,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Brazil_national_football_team,https://en.wikipedia.org/wiki/Brazil_women's_national_football_team,https://en.wikipedia.org/wiki/Brazilian_Football_Confederation
57,62,WC-1994,1994 FIFA Men's World Cup,2,T-41,Italy,ITA,41,Italy,ITA,1,1,Italian Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Italy_national_football_team,https://en.wikipedia.org/wiki/Italy_women's_national_football_team,https://en.wikipedia.org/wiki/Italian_Football_Federation
58,63,WC-1994,1994 FIFA Men's World Cup,3,T-74,Sweden,SWE,74,Sweden,SWE,1,1,Swedish Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Sweden_national_football_team,https://en.wikipedia.org/wiki/Sweden_women's_national_football_team,https://en.wikipedia.org/wiki/Swedish_Football_Association
59,64,WC-1994,1994 FIFA Men's World Cup,4,T-10,Bulgaria,BGR,10,Bulgaria,BGR,1,0,Bulgarian Football Union,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Bulgaria_national_football_team,not applicable,https://en.wikipedia.org/wiki/Bulgarian_Football_Union
60,69,WC-1998,1998 FIFA Men's World Cup,1,T-30,France,FRA,30,France,FRA,1,1,French Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/France_national_football_team,https://en.wikipedia.org/wiki/France_women's_national_football_team,https://en.wikipedia.org/wiki/French_Football_Federation
61,70,WC-1998,1998 FIFA Men's World Cup,2,T-09,Brazil,BRA,9,Brazil,BRA,1,1,Brazilian Football Confederation,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Brazil_national_football_team,https://en.wikipedia.org/wiki/Brazil_women's_national_football_team,https://en.wikipedia.org/wiki/Brazilian_Football_Confederation
62,71,WC-1998,1998 FIFA Men's World Cup,3,T-18,Croatia,HRV,18,Croatia,HRV,1,0,Croatian Football Federation,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Croatia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Croatian_Football_Federation
63,72,WC-1998,1998 FIFA Men's World Cup,4,T-48,Netherlands,NLD,48,Netherlands,NLD,1,1,Royal Dutch Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Netherlands_national_football_team,https://en.wikipedia.org/wiki/Netherlands_women's_national_football_team,https://en.wikipedia.org/wiki/Royal_Dutch_Football_Association
64,77,WC-2002,2002 FIFA Men's World Cup,1,T-09,Brazil,BRA,9,Brazil,BRA,1,1,Brazilian Football Confederation,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Brazil_national_football_team,https://en.wikipedia.org/wiki/Brazil_women's_national_football_team,https://en.wikipedia.org/wiki/Brazilian_Football_Confederation
65,78,WC-2002,2002 FIFA Men's World Cup,2,T-31,Germany,DEU,31,Germany,DEU,1,1,Germany Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Germany_national_football_team,https://en.wikipedia.org/wiki/Germany_women's_national_football_team,https://en.wikipedia.org/wiki/German_Football_Association
66,79,WC-2002,2002 FIFA Men's World Cup,3,T-80,Turkey,TUR,80,Turkey,TUR,1,0,Turkish Football Association,"Europe, Asia",CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Turkey_national_football_team,not applicable,https://en.wikipedia.org/wiki/Turkish_Football_Federation
67,80,WC-2002,2002 FIFA Men's World Cup,4,T-71,South Korea,KOR,71,South Korea,KOR,1,1,Korea Football Association,East Asia,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/South_Korea_national_football_team,https://en.wikipedia.org/wiki/South_Korea_women's_national_football_team,https://en.wikipedia.org/wiki/Korea_Football_Association
68,85,WC-2006,2006 FIFA Men's World Cup,1,T-41,Italy,ITA,41,Italy,ITA,1,1,Italian Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Italy_national_football_team,https://en.wikipedia.org/wiki/Italy_women's_national_football_team,https://en.wikipedia.org/wiki/Italian_Football_Federation
69,86,WC-2006,2006 FIFA Men's World Cup,2,T-30,France,FRA,30,France,FRA,1,1,French Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/France_national_football_team,https://en.wikipedia.org/wiki/France_women's_national_football_team,https://en.wikipedia.org/wiki/French_Football_Federation
70,87,WC-2006,2006 FIFA Men's World Cup,3,T-31,Germany,DEU,31,Germany,DEU,1,1,Germany Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Germany_national_football_team,https://en.wikipedia.org/wiki/Germany_women's_national_football_team,https://en.wikipedia.org/wiki/German_Football_Association
71,88,WC-2006,2006 FIFA Men's World Cup,4,T-58,Portugal,PRT,58,Portugal,PRT,1,0,Portuguese Football Federation,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Portugal_national_football_team,not applicable,https://en.wikipedia.org/wiki/Portuguese_Football_Federation
72,93,WC-2010,2010 FIFA Men's World Cup,1,T-73,Spain,ESP,73,Spain,ESP,1,1,Royal Spanish Football Federation,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Spain_national_football_team,https://en.wikipedia.org/wiki/Spain_women's_national_football_team,https://en.wikipedia.org/wiki/Royal_Spanish_Football_Federation
73,94,WC-2010,2010 FIFA Men's World Cup,2,T-48,Netherlands,NLD,48,Netherlands,NLD,1,1,Royal Dutch Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Netherlands_national_football_team,https://en.wikipedia.org/wiki/Netherlands_women's_national_football_team,https://en.wikipedia.org/wiki/Royal_Dutch_Football_Association
74,95,WC-2010,2010 FIFA Men's World Cup,3,T-31,Germany,DEU,31,Germany,DEU,1,1,Germany Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Germany_national_football_team,https://en.wikipedia.org/wiki/Germany_women's_national_football_team,https://en.wikipedia.org/wiki/German_Football_Association
75,96,WC-2010,2010 FIFA Men's World Cup,4,T-84,Uruguay,URY,84,Uruguay,URY,1,0,Uruguayan Football Association,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Uruguay_national_football_team,not applicable,https://en.wikipedia.org/wiki/Uruguayan_Football_Association
76,101,WC-2014,2014 FIFA Men's World Cup,1,T-31,Germany,DEU,31,Germany,DEU,1,1,Germany Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Germany_national_football_team,https://en.wikipedia.org/wiki/Germany_women's_national_football_team,https://en.wikipedia.org/wiki/German_Football_Association
77,102,WC-2014,2014 FIFA Men's World Cup,2,T-03,Argentina,ARG,3,Argentina,ARG,1,1,Argentine Football Association,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Argentina_national_football_team,https://en.wikipedia.org/wiki/Argentina_women's_national_football_team,https://en.wikipedia.org/wiki/Argentine_Football_Association
78,103,WC-2014,2014 FIFA Men's World Cup,3,T-48,Netherlands,NLD,48,Netherlands,NLD,1,1,Royal Dutch Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Netherlands_national_football_team,https://en.wikipedia.org/wiki/Netherlands_women's_national_football_team,https://en.wikipedia.org/wiki/Royal_Dutch_Football_Association
79,104,WC-2014,2014 FIFA Men's World Cup,4,T-09,Brazil,BRA,9,Brazil,BRA,1,1,Brazilian Football Confederation,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Brazil_national_football_team,https://en.wikipedia.org/wiki/Brazil_women's_national_football_team,https://en.wikipedia.org/wiki/Brazilian_Football_Confederation
80,109,WC-2018,2018 FIFA Men's World Cup,1,T-30,France,FRA,30,France,FRA,1,1,French Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/France_national_football_team,https://en.wikipedia.org/wiki/France_women's_national_football_team,https://en.wikipedia.org/wiki/French_Football_Federation
81,110,WC-2018,2018 FIFA Men's World Cup,2,T-18,Croatia,HRV,18,Croatia,HRV,1,0,Croatian Football Federation,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Croatia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Croatian_Football_Federation
82,111,WC-2018,2018 FIFA Men's World Cup,3,T-06,Belgium,BEL,6,Belgium,BEL,1,0,Royal Belgian Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Belgium_national_football_team,not applicable,https://en.wikipedia.org/wiki/Royal_Belgian_Football_Association
83,112,WC-2018,2018 FIFA Men's World Cup,4,T-28,England,ENG,28,England,ENG,1,1,The Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/England_national_football_team,https://en.wikipedia.org/wiki/England_women's_national_football_team,https://en.wikipedia.org/wiki/The_Football_Association
84,117,WC-2022,2022 FIFA Men's World Cup,1,T-03,Argentina,ARG,3,Argentina,ARG,1,1,Argentine Football Association,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Argentina_national_football_team,https://en.wikipedia.org/wiki/Argentina_women's_national_football_team,https://en.wikipedia.org/wiki/Argentine_Football_Association
85,118,WC-2022,2022 FIFA Men's World Cup,2,T-30,France,FRA,30,France,FRA,1,1,French Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/France_national_football_team,https://en.wikipedia.org/wiki/France_women's_national_football_team,https://en.wikipedia.org/wiki/French_Football_Federation
86,119,WC-2022,2022 FIFA Men's World Cup,3,T-18,Croatia,HRV,18,Croatia,HRV,1,0,Croatian Football Federation,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Croatia_national_football_team,not applicable,https://en.wikipedia.org/wiki/Croatian_Football_Federation
87,120,WC-2022,2022 FIFA Men's World Cup,4,T-47,Morocco,MAR,47,Morocco,MAR,1,0,Royal Moroccan Football Federation,Africa,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Morocco_national_football_team,not applicable,https://en.wikipedia.org/wiki/Royal_Moroccan_Football_Federation
