,key_id_x,tournament_id,tournament_name,position,team_id,team_name_x,team_code_x,key_id_y,team_name_y,team_code_y,mens_team,womens_team,federation_name,region_name,confederation_id,confederation_name,confederation_code,mens_team_wikipedia_link,womens_team_wikipedia_link,federation_wikipedia_link
12,13,WC-1950,1950 FIFA Men's World Cup,1,T-84,Uruguay,URY,84,Uruguay,URY,1,0,Uruguayan Football Association,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Uruguay_national_football_team,not applicable,https://en.wikipedia.org/wiki/Uruguayan_Football_Association
13,14,WC-1950,1950 FIFA Men's World Cup,2,T-09,Brazil,BRA,9,Brazil,BRA,1,1,Brazilian Football Confederation,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Brazil_national_football_team,https://en.wikipedia.org/wiki/Brazil_women's_national_football_team,https://en.wikipedia.org/wiki/Brazilian_Football_Confederation
14,15,WC-1950,1950 FIFA Men's World Cup,3,T-74,Sweden,SWE,74,Sweden,SWE,1,1,Swedish Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Sweden_national_football_team,https://en.wikipedia.org/wiki/Sweden_women's_national_football_team,https://en.wikipedia.org/wiki/Swedish_Football_Association
15,16,WC-1950,1950 FIFA Men's World Cup,4,T-73,Spain,ESP,73,Spain,ESP,1,1,Royal Spanish Football Federation,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Spain_national_football_team,https://en.wikipedia.org/wiki/Spain_women's_national_football_team,https://en.wikipedia.org/wiki/Royal_Spanish_Football_Federation
16,17,WC-1954,1954 FIFA Men's World Cup,1,T-86,West Germany,DEU,86,West Germany,DEU,1,0,Germany Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Germany_national_football_team,not applicable,https://en.wikipedia.org/wiki/German_Football_Association
17,18,WC-1954,1954 FIFA Men's World Cup,2,T-36,Hungary,HUN,36,Hungary,HUN,1,0,Hungary Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Hungary_national_football_team,not applicable,https://en.wikipedia.org/wiki/Hungarian_Football_Federation
18,19,WC-1954,1954 FIFA Men's World Cup,3,T-05,Austria,AUT,5,Austria,AUT,1,0,Austrian Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Austria_national_football_team,not applicable,https://en.wikipedia.org/wiki/Austrian_Football_Association
19,20,WC-1954,1954 FIFA Men's World Cup,4,T-84,Uruguay,URY,84,Uruguay,URY,1,0,Uruguayan Football Association,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Uruguay_national_football_team,not applicable,https://en.wikipedia.org/wiki/Uruguayan_Football_Association
20,21,WC-1958,1958 FIFA Men's World Cup,1,T-09,Brazil,BRA,9,Brazil,BRA,1,1,Brazilian Football Confederation,South America,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Brazil_national_football_team,https://en.wikipedia.org/wiki/Brazil_women's_national_football_team,https://en.wikipedia.org/wiki/Brazilian_Football_Confederation
21,22,WC-1958,1958 FIFA Men's World Cup,2,T-74,Sweden,SWE,74,Sweden,SWE,1,1,Swedish Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Sweden_national_football_team,https://en.wikipedia.org/wiki/Sweden_women's_national_football_team,https://en.wikipedia.org/wiki/Swedish_Football_Association
22,23,WC-1958,1958 FIFA Men's World Cup,3,T-30,France,FRA,30,France,FRA,1,1,French Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/France_national_football_team,https://en.wikipedia.org/wiki/France_women's_national_football_team,https://en.wikipedia.org/wiki/French_Football_Federation
23,24,WC-1958,1958 FIFA Men's World Cup,4,T-86,West Germany,DEU,86,West Germany,DEU,1,0,Germany Football Association,Europe,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Germany_national_football_team,not applicable,https://en.wikipedia.org/wiki/German_Football_Association
